Number,Season,Episode,Title,Director
1,1,1,"""The Pilot""",James Burrows
2,1,2,"""The One with the Sonogram at the End""",James Burrows
3,1,3,"""The One with the Thumb""",James Burrows
4,1,4,"""The One with George Stephanopoulos""",James Burrows
5,1,5,"""The One with the East German Laundry Detergent""",Pamela Fryman
6,1,6,"""The One with the Butt""",Arlene Sanford
7,1,7,"""The One with the Blackout""",James Burrows
8,1,8,"""The One Where Nana Dies Twice""",James Burrows
9,1,9,"""The One Where Underdog Gets Away""",James Burrows
10,1,10,"""The One with the Monkey""",Peter Bonerz
11,1,11,"""The One with Mrs. Bing""",James Burrows
12,1,12,"""The One with the Dozen Lasagnas""",Paul Lazarus
13,1,13,"""The One with the Boobies""",Alan Myerson
14,1,14,"""The One with the Candy Hearts""",James Burrows
15,1,15,"""The One with the Stoned Guy""",Alan Myerson
16,1,16,"""The One with Two Parts: Part 1""",Michael Lembeck
17,1,17,"""The One with Two Parts: Part 2""",Michael Lembeck
18,1,18,"""The One with All the Poker""",James Burrows
19,1,19,"""The One Where the Monkey Gets Away""",Peter Bonerz
20,1,20,"""The One with the Evil Orthodontist""",Peter Bonerz
21,1,21,"""The One with the Fake Monica""",Gail Mancuso
22,1,22,"""The One with the Ick Factor""",Robby Benson
23,1,23,"""The One with the Birth""",James Burrows
24,1,24,"""The One Where Rachel Finds Out""",Kevin S. Bright
25,2,1,"""The One with Ross's New Girlfriend""",Michael Lembeck
26,2,2,"""The One with the Breast Milk""",Michael Lembeck
27,2,3,"""The One Where Heckles Dies""",Kevin S. Bright
28,2,4,"""The One with Phoebe's Husband""",Gail Mancuso
29,2,5,"""The One with Five Steaks and an Eggplant""",Ellen Gittelsohn
30,2,6,"""The One with the Baby on the Bus""",Gail Mancuso
31,2,7,"""The One Where Ross Finds Out""",Peter Bonerz
32,2,8,"""The One with the List""",Mary Kay Place
33,2,9,"""The One with Phoebe's Dad""",Kevin S. Bright
34,2,10,"""The One with Russ""",Thomas Schlamme
35,2,11,"""The One with the Lesbian Wedding""",Thomas Schlamme
36,2,12,"""The One After the Superbowl"" Part 1",Michael Lembeck
37,2,13,"""The One After the Superbowl"" Part 2",Michael Lembeck
38,2,14,"""The One with the Prom Video""",James Burrows
39,2,15,"""The One Where Ross and Rachel ... You Know""",Michael Lembeck
40,2,16,"""The One Where Joey Moves Out""",Michael Lembeck
41,2,17,"""The One Where Eddie Moves In""",Michael Lembeck
42,2,18,"""The One Where Dr. Ramoray Dies""",Michael Lembeck
43,2,19,"""The One Where Eddie Won't Go""",Michael Lembeck
44,2,20,"""The One Where Old Yeller Dies""",Michael Lembeck
45,2,21,"""The One with the Bullies""",Michael Lembeck
46,2,22,"""The One with the Two Parties""",Michael Lembeck
47,2,23,"""The One with the Chicken Pox""",Michael Lembeck
48,2,24,"""The One with Barry and Mindy's Wedding""",Michael Lembeck
49,3,1,"""The One with the Princess Leia Fantasy""",Gail Mancuso
50,3,2,"""The One Where No One's Ready""",Gail Mancuso
51,3,3,"""The One with the Jam""",Kevin S. Bright
52,3,4,"""The One with the Metaphorical Tunnel""",Steve Zuckerman
53,3,5,"""The One with Frank Jr.""",Steve Zuckerman
54,3,6,"""The One with the Flashback""",Peter Bonerz
55,3,7,"""The One with the Race Car Bed""",Gail Mancuso
56,3,8,"""The One with the Giant Poking Device""",Gail Mancuso
57,3,9,"""The One with the Football""",Kevin S. Bright
58,3,10,"""The One Where Rachel Quits""",Terry Hughes
59,3,11,"""The One Where Chandler Can't Remember Which Sister""",Terry Hughes
60,3,12,"""The One with All the Jealousy""",Robby Benson
61,3,13,"""The One Where Monica and Richard are Just Friends""",Robby Benson
62,3,14,"""The One with Phoebe's Ex-Partner""",Robby Benson
63,3,15,"""The One Where Ross and Rachel Take a Break""",James Burrows
64,3,16,"""The One the Morning After""",James Burrows
